project_id,field_name,old_value,new_value,source_used,evidence_type,updated_flag,reason
murano,bedrooms_range_min,,2,docintel,docintel,true,field_was_empty
murano,bedrooms_range_max,,4,docintel,docintel,true,field_was_empty
murano,bua_range_min_sqm,,50,docintel,docintel,true,field_was_empty
murano,bua_range_max_sqm,,260,docintel,docintel,true,field_was_empty
murano,unit_types_offered_json,"[""Villas"", ""Attached Villas"", ""Duplexes"", ""Chalets""]","[""Attached Villas"", ""Chalets"", ""Duplexes"", ""Villas"", ""loft"", ""penthouse""]",docintel,docintel,true,merged_unit_types_from_brochure
living_community,bedrooms_range_min,,2,docintel,docintel,true,field_was_empty
living_community,bedrooms_range_max,,4,docintel,docintel,true,field_was_empty
living_community,bua_range_min_sqm,,50,docintel,docintel,true,field_was_empty
living_community,bua_range_max_sqm,,260,docintel,docintel,true,field_was_empty
living_community,unit_types_offered_json,"[""Villas"", ""Attached Villas"", ""Duplexes"", ""Chalets""]","[""Attached Villas"", ""Chalets"", ""Duplexes"", ""Villas"", ""loft"", ""penthouse""]",docintel,docintel,true,merged_unit_types_from_brochure
waterside,bedrooms_range_min,,2,docintel,docintel,true,field_was_empty
waterside,bedrooms_range_max,,4,docintel,docintel,true,field_was_empty
waterside,bua_range_min_sqm,,50,docintel,docintel,true,field_was_empty
waterside,bua_range_max_sqm,,260,docintel,docintel,true,field_was_empty
waterside,unit_types_offered_json,"[""Villas"", ""Duplexes"", ""Chalets""]","[""Chalets"", ""Duplexes"", ""Villas"", ""loft"", ""penthouse""]",docintel,docintel,true,merged_unit_types_from_brochure
breeze,unit_types_offered_json,"[""Apartments"", ""Duplexes""]","[""Apartments"", ""Duplexes"", ""retail""]",docintel,docintel,true,merged_unit_types_from_brochure
horizon,unit_types_offered_json,"[""Apartments"", ""Duplexes""]","[""Apartments"", ""Duplexes"", ""retail""]",docintel,docintel,true,merged_unit_types_from_brochure
edge,installment_years_min,,19,docintel,docintel,true,field_was_empty
edge,installment_years_max,,19,docintel,docintel,true,field_was_empty
